Year,Period,Area,Area Type,Adjustment,Employment,Civilian Labor Force,Unemployment,Unemployment Rate
2005,September,Bailey                                               ,County,Not Adjusted,"3,029","3,188",159,5
2005,December,Bailey                                               ,County,Not Adjusted,"2,948","3,096",148,4.8
2005,March,Bandera                                              ,County,Not Adjusted,"9,170","9,606",436,4.5
2005,June,Bandera                                              ,County,Not Adjusted,"9,289","9,753",464,4.8
2005,September,Bandera                                              ,County,Not Adjusted,"9,305","9,740",435,4.5
2005,December,Bandera                                              ,County,Not Adjusted,"9,362","9,773",411,4.2
2005,March,Bastrop                                              ,County,Not Adjusted,"31,706","33,418","1,712",5.1
2005,June,Bastrop                                              ,County,Not Adjusted,"32,080","33,924","1,844",5.4
2005,September,Bastrop                                              ,County,Not Adjusted,"32,088","33,826","1,738",5.1
2005,December,Bastrop                                              ,County,Not Adjusted,"32,382","33,884","1,502",4.4
2005,March,Baylor                                               ,County,Not Adjusted,"1,778","1,885",107,5.7
2005,June,Baylor                                               ,County,Not Adjusted,"1,816","1,903",87,4.6
2005,September,Baylor                                               ,County,Not Adjusted,"1,790","1,876",86,4.6
2005,December,Baylor                                               ,County,Not Adjusted,"1,742","1,817",75,4.1
2005,March,Bee                                                  ,County,Not Adjusted,"10,247","11,043",796,7.2
2005,June,Bee                                                  ,County,Not Adjusted,"10,300","11,185",885,7.9
2005,September,Bee                                                  ,County,Not Adjusted,"10,303","11,085",782,7.1
2005,December,Bee                                                  ,County,Not Adjusted,"10,354","11,057",703,6.4
2005,March,Bell                                                 ,County,Not Adjusted,"108,614","114,142","5,528",4.8
2005,June,Bell                                                 ,County,Not Adjusted,"108,931","114,921","5,990",5.2
2005,September,Bell                                                 ,County,Not Adjusted,"108,690","114,871","6,181",5.4
2005,December,Bell                                                 ,County,Not Adjusted,"108,163","113,919","5,756",5.1
2005,March,Bexar                                                ,County,Not Adjusted,"673,323","710,383","37,060",5.2
2005,June,Bexar                                                ,County,Not Adjusted,"682,032","720,538","38,506",5.3
2005,September,Bexar                                                ,County,Not Adjusted,"683,147","720,712","37,565",5.2
2005,December,Bexar                                                ,County,Not Adjusted,"687,415","720,993","33,578",4.7
2005,March,Blanco                                               ,County,Not Adjusted,"4,462","4,656",194,4.2
2005,June,Blanco                                               ,County,Not Adjusted,"4,572","4,777",205,4.3
2005,September,Blanco                                               ,County,Not Adjusted,"4,479","4,677",198,4.2
2005,December,Blanco                                               ,County,Not Adjusted,"4,440","4,617",177,3.8
2005,March,Borden                                               ,County,Not Adjusted,417,436,19,4.4
2005,June,Borden                                               ,County,Not Adjusted,453,474,21,4.4
2005,September,Borden                                               ,County,Not Adjusted,431,446,15,3.4
2005,December,Borden                                               ,County,Not Adjusted,423,436,13,3
2005,March,Bosque                                               ,County,Not Adjusted,"8,019","8,433",414,4.9
2005,June,Bosque                                               ,County,Not Adjusted,"8,128","8,592",464,5.4
2005,September,Bosque                                               ,County,Not Adjusted,"7,871","8,302",431,5.2
2005,December,Bosque                                               ,County,Not Adjusted,"7,887","8,300",413,5
2005,March,Bowie                                                ,County,Not Adjusted,"39,796","42,083","2,287",5.4
2005,June,Bowie                                                ,County,Not Adjusted,"40,063","42,482","2,419",5.7
2005,September,Bowie                                                ,County,Not Adjusted,"40,196","42,704","2,508",5.9
2005,December,Bowie                                                ,County,Not Adjusted,"40,348","42,446","2,098",4.9
2005,March,Brazoria                                             ,County,Not Adjusted,"125,330","133,022","7,692",5.8
2005,June,Brazoria                                             ,County,Not Adjusted,"125,878","134,314","8,436",6.3
2005,September,Brazoria                                             ,County,Not Adjusted,"126,643","134,441","7,798",5.8
2005,December,Brazoria                                             ,County,Not Adjusted,"128,403","135,179","6,776",5
2005,March,Brazos                                               ,County,Not Adjusted,"84,515","88,113","3,598",4.1
2005,June,Brazos                                               ,County,Not Adjusted,"80,223","84,171","3,948",4.7
2005,September,Brazos                                               ,County,Not Adjusted,"84,898","88,854","3,956",4.5
2005,December,Brazos                                               ,County,Not Adjusted,"84,171","87,721","3,550",4
2005,March,Brewster                                             ,County,Not Adjusted,"5,183","5,386",203,3.8
2005,June,Brewster                                             ,County,Not Adjusted,"4,911","5,125",214,4.2
2005,September,Brewster                                             ,County,Not Adjusted,"4,991","5,189",198,3.8
2005,December,Brewster                                             ,County,Not Adjusted,"5,134","5,316",182,3.4
2005,March,Briscoe                                              ,County,Not Adjusted,634,678,44,6.5
2005,June,Briscoe                                              ,County,Not Adjusted,721,761,40,5.3
2005,September,Briscoe                                              ,County,Not Adjusted,688,725,37,5.1
2005,December,Briscoe                                              ,County,Not Adjusted,651,687,36,5.2
2005,March,Brooks                                               ,County,Not Adjusted,"2,881","3,090",209,6.8
2005,June,Brooks                                               ,County,Not Adjusted,"2,895","3,139",244,7.8
2005,September,Brooks                                               ,County,Not Adjusted,"2,890","3,096",206,6.7
2005,December,Brooks                                               ,County,Not Adjusted,"2,872","3,060",188,6.1
2005,March,Brown                                                ,County,Not Adjusted,"17,760","18,651",891,4.8
2005,June,Brown                                                ,County,Not Adjusted,"17,878","18,841",963,5.1
2005,September,Brown                                                ,County,Not Adjusted,"17,965","18,838",873,4.6
2005,December,Brown                                                ,County,Not Adjusted,"18,074","18,869",795,4.2
2005,March,Burleson                                             ,County,Not Adjusted,"8,404","8,765",361,4.1
2005,June,Burleson                                             ,County,Not Adjusted,"7,977","8,372",395,4.7
2005,September,Burleson                                             ,County,Not Adjusted,"8,442","8,781",339,3.9
2005,December,Burleson                                             ,County,Not Adjusted,"8,370","8,705",335,3.8
2005,March,Burnet                                               ,County,Not Adjusted,"19,232","20,144",912,4.5
2005,June,Burnet                                               ,County,Not Adjusted,"19,489","20,433",944,4.6
2005,September,Burnet                                               ,County,Not Adjusted,"19,502","20,419",917,4.5
2005,December,Burnet                                               ,County,Not Adjusted,"19,369","20,208",839,4.2
2005,March,Caldwell                                             ,County,Not Adjusted,"15,002","15,856",854,5.4
2005,June,Caldwell                                             ,County,Not Adjusted,"15,179","16,066",887,5.5
2005,September,Caldwell                                             ,County,Not Adjusted,"15,183","16,064",881,5.5
2005,December,Caldwell                                             ,County,Not Adjusted,"15,322","16,099",777,4.8
2005,March,Calhoun                                              ,County,Not Adjusted,"8,728","9,284",556,6
2005,June,Calhoun                                              ,County,Not Adjusted,"8,885","9,468",583,6.2
2005,September,Calhoun                                              ,County,Not Adjusted,"8,797","9,363",566,6
2005,December,Calhoun                                              ,County,Not Adjusted,"8,833","9,274",441,4.8
2005,March,Callahan                                             ,County,Not Adjusted,"6,617","6,907",290,4.2
2005,June,Callahan                                             ,County,Not Adjusted,"6,686","7,003",317,4.5
2005,September,Callahan                                             ,County,Not Adjusted,"6,803","7,090",287,4
2005,December,Callahan                                             ,County,Not Adjusted,"6,790","7,047",257,3.6
2005,March,Cameron                                              ,County,Not Adjusted,"129,190","140,788","11,598",8.2
2005,June,Cameron                                              ,County,Not Adjusted,"130,074","141,542","11,468",8.1
2005,September,Cameron                                              ,County,Not Adjusted,"129,031","139,220","10,189",7.3
2005,December,Cameron                                              ,County,Not Adjusted,"131,196","140,760","9,564",6.8
2005,March,Camp                                                 ,County,Not Adjusted,"5,023","5,343",320,6
2005,June,Camp                                                 ,County,Not Adjusted,"5,118","5,446",328,6
2005,September,Camp                                                 ,County,Not Adjusted,"5,126","5,436",310,5.7
2005,December,Camp                                                 ,County,Not Adjusted,"5,221","5,509",288,5.2
2005,March,Carson                                               ,County,Not Adjusted,"3,323","3,465",142,4.1
2005,June,Carson                                               ,County,Not Adjusted,"3,360","3,502",142,4.1
2005,September,Carson                                               ,County,Not Adjusted,"3,383","3,527",144,4.1
2005,December,Carson                                               ,County,Not Adjusted,"3,380","3,504",124,3.5
2005,March,Cass                                                 ,County,Not Adjusted,"12,640","13,492",852,6.3
2005,June,Cass                                                 ,County,Not Adjusted,"12,738","13,615",877,6.4
2005,September,Cass                                                 ,County,Not Adjusted,"12,479","13,340",861,6.5
2005,December,Cass                                                 ,County,Not Adjusted,"12,314","13,084",770,5.9
2005,March,Castro                                               ,County,Not Adjusted,"3,146","3,331",185,5.6
2005,June,Castro                                               ,County,Not Adjusted,"3,305","3,515",210,6
2005,September,Castro                                               ,County,Not Adjusted,"3,221","3,413",192,5.6
2005,December,Castro                                               ,County,Not Adjusted,"3,023","3,174",151,4.8
2005,March,Chambers                                             ,County,Not Adjusted,"13,067","13,912",845,6.1
2005,June,Chambers                                             ,County,Not Adjusted,"13,124","14,095",971,6.9
2005,September,Chambers                                             ,County,Not Adjusted,"13,204","14,091",887,6.3
2005,December,Chambers                                             ,County,Not Adjusted,"13,386","14,165",779,5.5
2005,March,Cherokee                                             ,County,Not Adjusted,"19,363","20,467","1,104",5.4
2005,June,Cherokee                                             ,County,Not Adjusted,"19,702","20,851","1,149",5.5
2005,September,Cherokee                                             ,County,Not Adjusted,"19,465","20,651","1,186",5.7
2005,December,Cherokee                                             ,County,Not Adjusted,"19,149","20,288","1,139",5.6
2005,March,Childress                                            ,County,Not Adjusted,"2,855","3,030",175,5.8
2005,June,Childress                                            ,County,Not Adjusted,"3,004","3,180",176,5.5
2005,September,Childress                                            ,County,Not Adjusted,"2,871","3,050",179,5.9
2005,December,Childress                                            ,County,Not Adjusted,"2,798","2,973",175,5.9
2005,March,Clay                                                 ,County,Not Adjusted,"6,226","6,471",245,3.8
2005,June,Clay                                                 ,County,Not Adjusted,"6,265","6,538",273,4.2
2005,September,Clay                                                 ,County,Not Adjusted,"6,234","6,481",247,3.8
2005,December,Clay                                                 ,County,Not Adjusted,"6,260","6,486",226,3.5
2005,March,Cochran                                              ,County,Not Adjusted,"1,438","1,548",110,7.1
2005,June,Cochran                                              ,County,Not Adjusted,"1,496","1,599",103,6.4
2005,September,Cochran                                              ,County,Not Adjusted,"1,472","1,549",77,5
2005,December,Cochran                                              ,County,Not Adjusted,"1,407","1,481",74,5
2005,March,Coke                                                 ,County,Not Adjusted,"1,273","1,352",79,5.8
2005,June,Coke                                                 ,County,Not Adjusted,"1,339","1,422",83,5.8
2005,September,Coke                                                 ,County,Not Adjusted,"1,293","1,370",77,5.6
2005,December,Coke                                                 ,County,Not Adjusted,"1,239","1,309",70,5.3
2005,March,Coleman                                              ,County,Not Adjusted,"4,089","4,284",195,4.6
2005,June,Coleman                                              ,County,Not Adjusted,"4,228","4,438",210,4.7
2005,September,Coleman                                              ,County,Not Adjusted,"4,103","4,301",198,4.6
2005,December,Coleman                                              ,County,Not Adjusted,"4,018","4,200",182,4.3
2005,March,Collin                                               ,County,Not Adjusted,"346,120","363,588","17,468",4.8
2005,June,Collin                                               ,County,Not Adjusted,"350,562","368,251","17,689",4.8
2005,September,Collin                                               ,County,Not Adjusted,"352,741","370,670","17,929",4.8
2005,December,Collin                                               ,County,Not Adjusted,"355,983","371,854","15,871",4.3
2005,March,Collingsworth                                        ,County,Not Adjusted,"1,452","1,526",74,4.8
2005,June,Collingsworth                                        ,County,Not Adjusted,"1,592","1,668",76,4.6
2005,September,Collingsworth                                        ,County,Not Adjusted,"1,599","1,667",68,4.1
2005,December,Collingsworth                                        ,County,Not Adjusted,"1,539","1,610",71,4.4
2005,March,Colorado                                             ,County,Not Adjusted,"9,532","9,996",464,4.6
2005,June,Colorado                                             ,County,Not Adjusted,"10,210","10,688",478,4.5
2005,September,Colorado                                             ,County,Not Adjusted,"9,856","10,343",487,4.7
2005,December,Colorado                                             ,County,Not Adjusted,"9,819","10,256",437,4.3
2005,March,Comal                                                ,County,Not Adjusted,"46,331","48,617","2,286",4.7
2005,June,Comal                                                ,County,Not Adjusted,"46,930","49,196","2,266",4.6
2005,September,Comal                                                ,County,Not Adjusted,"47,007","49,214","2,207",4.5
2005,December,Comal                                                ,County,Not Adjusted,"47,300","49,293","1,993",4
2005,March,Comanche                                             ,County,Not Adjusted,"5,970","6,270",300,4.8
2005,June,Comanche                                             ,County,Not Adjusted,"6,271","6,609",338,5.1
2005,September,Comanche                                             ,County,Not Adjusted,"6,219","6,520",301,4.6
2005,December,Comanche                                             ,County,Not Adjusted,"5,992","6,274",282,4.5
2005,March,Concho                                               ,County,Not Adjusted,"1,238","1,317",79,6
2005,June,Concho                                               ,County,Not Adjusted,"1,352","1,429",77,5.4
2005,September,Concho                                               ,County,Not Adjusted,"1,286","1,369",83,6.1
2005,December,Concho                                               ,County,Not Adjusted,"1,264","1,345",81,6
2005,March,Cooke                                                ,County,Not Adjusted,"18,675","19,538",863,4.4
2005,June,Cooke                                                ,County,Not Adjusted,"19,381","20,292",911,4.5
2005,September,Cooke                                                ,County,Not Adjusted,"19,311","20,188",877,4.3
2005,December,Cooke                                                ,County,Not Adjusted,"19,322","20,098",776,3.9
2005,March,Coryell                                              ,County,Not Adjusted,"23,840","25,389","1,549",6.1
2005,June,Coryell                                              ,County,Not Adjusted,"23,910","25,599","1,689",6.6
2005,September,Coryell                                              ,County,Not Adjusted,"23,857","25,531","1,674",6.6
2005,December,Coryell                                              ,County,Not Adjusted,"23,741","25,266","1,525",6
2005,March,Cottle                                               ,County,Not Adjusted,791,847,56,6.6
2005,June,Cottle                                               ,County,Not Adjusted,812,859,47,5.5
2005,September,Cottle                                               ,County,Not Adjusted,750,793,43,5.4
2005,December,Cottle                                               ,County,Not Adjusted,753,796,43,5.4
2005,March,Crane                                                ,County,Not Adjusted,"1,495","1,584",89,5.6
2005,June,Crane                                                ,County,Not Adjusted,"1,475","1,563",88,5.6
2005,September,Crane                                                ,County,Not Adjusted,"1,481","1,559",78,5
2005,December,Crane                                                ,County,Not Adjusted,"1,570","1,643",73,4.4
2005,March,Crockett                                             ,County,Not Adjusted,"1,884","1,960",76,3.9
2005,June,Crockett                                             ,County,Not Adjusted,"2,025","2,108",83,3.9
2005,September,Crockett                                             ,County,Not Adjusted,"2,007","2,086",79,3.8
2005,December,Crockett                                             ,County,Not Adjusted,"1,928","1,995",67,3.4
2005,March,Crosby                                               ,County,Not Adjusted,"2,772","2,930",158,5.4
2005,June,Crosby                                               ,County,Not Adjusted,"2,750","2,923",173,5.9
2005,September,Crosby                                               ,County,Not Adjusted,"2,778","2,929",151,5.2
2005,December,Crosby                                               ,County,Not Adjusted,"2,790","2,928",138,4.7
2005,March,Culberson                                            ,County,Not Adjusted,"1,571","1,646",75,4.6
2005,June,Culberson                                            ,County,Not Adjusted,"1,600","1,668",68,4.1
2005,September,Culberson                                            ,County,Not Adjusted,"1,641","1,704",63,3.7
2005,December,Culberson                                            ,County,Not Adjusted,"1,558","1,617",59,3.6
2005,March,Dallam                                               ,County,Not Adjusted,"2,888","2,997",109,3.6
2005,June,Dallam                                               ,County,Not Adjusted,"3,068","3,176",108,3.4
2005,September,Dallam                                               ,County,Not Adjusted,"3,005","3,106",101,3.3
2005,December,Dallam                                               ,County,Not Adjusted,"2,898","2,988",90,3
2005,March,Dallas                                               ,County,Not Adjusted,"1,064,931","1,130,138","65,207",5.8
2005,June,Dallas                                               ,County,Not Adjusted,"1,078,600","1,143,654","65,054",5.7
2005,September,Dallas                                               ,County,Not Adjusted,"1,085,305","1,154,208","68,903",6
2005,December,Dallas                                               ,County,Not Adjusted,"1,095,275","1,157,275","62,000",5.4
2005,March,Dawson                                               ,County,Not Adjusted,"4,792","5,169",377,7.3
2005,June,Dawson                                               ,County,Not Adjusted,"4,990","5,377",387,7.2
2005,September,Dawson                                               ,County,Not Adjusted,"4,719","5,080",361,7.1
2005,December,Dawson                                               ,County,Not Adjusted,"4,723","5,012",289,5.8
2005,March,Deaf Smith                                           ,County,Not Adjusted,"7,799","8,190",391,4.8
2005,June,Deaf Smith                                           ,County,Not Adjusted,"8,134","8,552",418,4.9
2005,September,Deaf Smith                                           ,County,Not Adjusted,"7,992","8,376",384,4.6
2005,December,Deaf Smith                                           ,County,Not Adjusted,"7,887","8,248",361,4.4
2005,March,Delta                                                ,County,Not Adjusted,"2,252","2,400",148,6.2
2005,June,Delta                                                ,County,Not Adjusted,"2,281","2,432",151,6.2
2005,September,Delta                                                ,County,Not Adjusted,"2,295","2,418",123,5.1
2005,December,Delta                                                ,County,Not Adjusted,"2,317","2,422",105,4.3
2005,March,Denton                                               ,County,Not Adjusted,"296,097","310,683","14,586",4.7
2005,June,Denton                                               ,County,Not Adjusted,"299,899","315,422","15,523",4.9
2005,September,Denton                                               ,County,Not Adjusted,"301,763","316,651","14,888",4.7
2005,December,Denton                                               ,County,Not Adjusted,"304,536","317,696","13,160",4.1
2005,March,DeWitt                                               ,County,Not Adjusted,"8,672","9,115",443,4.9
2005,June,DeWitt                                               ,County,Not Adjusted,"9,002","9,454",452,4.8
2005,September,DeWitt                                               ,County,Not Adjusted,"8,984","9,408",424,4.5
2005,December,DeWitt                                               ,County,Not Adjusted,"8,952","9,340",388,4.2
2005,March,Dickens                                              ,County,Not Adjusted,967,"1,027",60,5.8
2005,June,Dickens                                              ,County,Not Adjusted,"1,040","1,097",57,5.2
2005,September,Dickens                                              ,County,Not Adjusted,"1,016","1,070",54,5
2005,December,Dickens                                              ,County,Not Adjusted,"1,080","1,127",47,4.2
2005,March,Dimmit                                               ,County,Not Adjusted,"3,502","3,830",328,8.6
2005,June,Dimmit                                               ,County,Not Adjusted,"3,523","3,859",336,8.7
2005,September,Dimmit                                               ,County,Not Adjusted,"3,473","3,778",305,8.1
2005,December,Dimmit                                               ,County,Not Adjusted,"3,464","3,777",313,8.3
2005,March,Donley                                               ,County,Not Adjusted,"1,687","1,779",92,5.2
2005,June,Donley                                               ,County,Not Adjusted,"1,797","1,899",102,5.4
2005,September,Donley                                               ,County,Not Adjusted,"1,695","1,783",88,4.9
2005,December,Donley                                               ,County,Not Adjusted,"1,774","1,853",79,4.3
2005,March,Duval                                                ,County,Not Adjusted,"4,895","5,224",329,6.3
2005,June,Duval                                                ,County,Not Adjusted,"4,955","5,312",357,6.7
2005,September,Duval                                                ,County,Not Adjusted,"5,034","5,360",326,6.1
2005,December,Duval                                                ,County,Not Adjusted,"4,921","5,211",290,5.6
2005,March,Eastland                                             ,County,Not Adjusted,"7,789","8,237",448,5.4
2005,June,Eastland                                             ,County,Not Adjusted,"8,114","8,614",500,5.8
2005,September,Eastland                                             ,County,Not Adjusted,"8,135","8,567",432,5
2005,December,Eastland                                             ,County,Not Adjusted,"8,275","8,676",401,4.6
2005,March,Ector                                                ,County,Not Adjusted,"58,726","61,669","2,943",4.8
2005,June,Ector                                                ,County,Not Adjusted,"59,086","62,189","3,103",5
2005,September,Ector                                                ,County,Not Adjusted,"60,247","63,013","2,766",4.4
2005,December,Ector                                                ,County,Not Adjusted,"61,512","63,984","2,472",3.9
2005,March,Edwards                                              ,County,Not Adjusted,964,"1,007",43,4.3
2005,June,Edwards                                              ,County,Not Adjusted,"1,022","1,065",43,4
2005,September,Edwards                                              ,County,Not Adjusted,970,"1,010",40,4
2005,December,Edwards                                              ,County,Not Adjusted,945,986,41,4.2
2005,March,Ellis                                                ,County,Not Adjusted,"62,010","65,614","3,604",5.5
2005,June,Ellis                                                ,County,Not Adjusted,"62,805","66,474","3,669",5.5
2005,September,Ellis                                                ,County,Not Adjusted,"63,196","66,770","3,574",5.4
2005,December,Ellis                                                ,County,Not Adjusted,"63,776","67,200","3,424",5.1
2005,March,El Paso                                              ,County,Not Adjusted,"268,914","290,550","21,636",7.4
2005,June,El Paso                                              ,County,Not Adjusted,"269,576","291,050","21,474",7.4
2005,September,El Paso                                              ,County,Not Adjusted,"272,687","292,801","20,114",6.9
2005,December,El Paso                                              ,County,Not Adjusted,"273,313","291,937","18,624",6.4
2005,March,Erath                                                ,County,Not Adjusted,"16,341","17,066",725,4.2
2005,June,Erath                                                ,County,Not Adjusted,"17,046","17,867",821,4.6
2005,September,Erath                                                ,County,Not Adjusted,"16,999","17,738",739,4.2
2005,December,Erath                                                ,County,Not Adjusted,"17,065","17,727",662,3.7
2005,March,Falls                                                ,County,Not Adjusted,"6,829","7,284",455,6.2
2005,June,Falls                                                ,County,Not Adjusted,"6,937","7,423",486,6.5
2005,September,Falls                                                ,County,Not Adjusted,"6,810","7,263",453,6.2
2005,December,Falls                                                ,County,Not Adjusted,"6,728","7,141",413,5.8
2005,March,Fannin                                               ,County,Not Adjusted,"12,743","13,626",883,6.5
2005,June,Fannin                                               ,County,Not Adjusted,"13,177","14,051",874,6.2
2005,September,Fannin                                               ,County,Not Adjusted,"12,931","13,890",959,6.9
2005,December,Fannin                                               ,County,Not Adjusted,"12,778","13,680",902,6.6
2005,March,Fayette                                              ,County,Not Adjusted,"11,417","11,881",464,3.9
2005,June,Fayette                                              ,County,Not Adjusted,"11,744","12,251",507,4.1
2005,September,Fayette                                              ,County,Not Adjusted,"11,498","11,975",477,4
2005,December,Fayette                                              ,County,Not Adjusted,"11,448","11,878",430,3.6
2005,March,Fisher                                               ,County,Not Adjusted,"1,927","2,018",91,4.5
2005,June,Fisher                                               ,County,Not Adjusted,"1,983","2,077",94,4.5
2005,September,Fisher                                               ,County,Not Adjusted,"1,934","2,017",83,4.1
2005,December,Fisher                                               ,County,Not Adjusted,"1,901","1,978",77,3.9
2005,March,Floyd                                                ,County,Not Adjusted,"2,980","3,182",202,6.3
2005,June,Floyd                                                ,County,Not Adjusted,"3,150","3,362",212,6.3
2005,September,Floyd                                                ,County,Not Adjusted,"3,140","3,313",173,5.2
2005,December,Floyd                                                ,County,Not Adjusted,"2,960","3,121",161,5.2
2005,March,Foard                                                ,County,Not Adjusted,636,671,35,5.2
2005,June,Foard                                                ,County,Not Adjusted,669,707,38,5.4
2005,September,Foard                                                ,County,Not Adjusted,649,681,32,4.7
2005,December,Foard                                                ,County,Not Adjusted,634,666,32,4.8
2005,March,Fort Bend                                            ,County,Not Adjusted,"221,736","234,144","12,408",5.3
2005,June,Fort Bend                                            ,County,Not Adjusted,"222,702","235,070","12,368",5.3
2005,September,Fort Bend                                            ,County,Not Adjusted,"224,059","237,803","13,744",5.8
2005,December,Fort Bend                                            ,County,Not Adjusted,"227,171","238,949","11,778",4.9
2005,March,Franklin                                             ,County,Not Adjusted,"4,855","5,112",257,5
2005,June,Franklin                                             ,County,Not Adjusted,"5,003","5,269",266,5
2005,September,Franklin                                             ,County,Not Adjusted,"4,843","5,109",266,5.2
2005,December,Franklin                                             ,County,Not Adjusted,"5,045","5,277",232,4.4
2005,March,Freestone                                            ,County,Not Adjusted,"9,609","10,034",425,4.2
2005,June,Freestone                                            ,County,Not Adjusted,"9,625","10,087",462,4.6
2005,September,Freestone                                            ,County,Not Adjusted,"9,716","10,165",449,4.4
2005,December,Freestone                                            ,County,Not Adjusted,"9,569","9,958",389,3.9
2005,March,Frio                                                 ,County,Not Adjusted,"5,905","6,302",397,6.3
2005,June,Frio                                                 ,County,Not Adjusted,"6,097","6,527",430,6.6
2005,September,Frio                                                 ,County,Not Adjusted,"6,041","6,429",388,6
2005,December,Frio                                                 ,County,Not Adjusted,"5,940","6,288",348,5.5
2005,March,Gaines                                               ,County,Not Adjusted,"6,020","6,352",332,5.2
2005,June,Gaines                                               ,County,Not Adjusted,"6,188","6,512",324,5
2005,September,Gaines                                               ,County,Not Adjusted,"5,831","6,110",279,4.6
2005,December,Gaines                                               ,County,Not Adjusted,"5,565","5,813",248,4.3
2005,March,Galveston                                            ,County,Not Adjusted,"129,281","137,008","7,727",5.6
2005,June,Galveston                                            ,County,Not Adjusted,"129,845","138,283","8,438",6.1
2005,September,Galveston                                            ,County,Not Adjusted,"130,636","138,987","8,351",6
2005,December,Galveston                                            ,County,Not Adjusted,"132,450","139,651","7,201",5.2
2005,March,Garza                                                ,County,Not Adjusted,"2,210","2,318",108,4.7
2005,June,Garza                                                ,County,Not Adjusted,"2,305","2,421",116,4.8
2005,September,Garza                                                ,County,Not Adjusted,"2,310","2,418",108,4.5
2005,December,Garza                                                ,County,Not Adjusted,"2,344","2,441",97,4
2005,March,Gillespie                                            ,County,Not Adjusted,"12,017","12,445",428,3.4
2005,June,Gillespie                                            ,County,Not Adjusted,"12,887","13,339",452,3.4
2005,September,Gillespie                                            ,County,Not Adjusted,"12,278","12,732",454,3.6
2005,December,Gillespie                                            ,County,Not Adjusted,"12,317","12,705",388,3.1
2005,March,Glasscock                                            ,County,Not Adjusted,595,621,26,4.2
2005,June,Glasscock                                            ,County,Not Adjusted,647,674,27,4
2005,September,Glasscock                                            ,County,Not Adjusted,610,634,24,3.8
2005,December,Glasscock                                            ,County,Not Adjusted,584,607,23,3.8
